time,temperature,humidity,co2,CH4,CO,O2,NH3,NO2
2024-02-01 11:12,31.595000000000002,62.235,406,0.052,-4.124,21.1,1.408,0.282
2024-02-01 11:42,31.645000000000003,62.2975,415,0.052,-4.09,21.1,1.397,0.283
2024-02-01 12:12,31.627499999999998,62.5175,421,0.053,-4.057,21.1,1.397,0.283
2024-02-01 12:42,31.595,62.735,437.5,0.052,-4.057,21.1,1.386,0.283
2024-02-01 13:12,31.575000000000003,63.1625,390,0.052,-4.024,21.1,1.375,0.283
2024-02-01 13:42,31.525,63.3625,416.5,0.053,-3.99,21.1,1.375,0.285
2024-02-01 14:12,31.4875,63.2875,409,0.053,-3.99,21.1,1.375,0.285
2024-02-01 14:42,31.482499999999998,63.31,417.5,0.053,-3.99,21.1,1.375,0.285
2024-02-01 15:12,31.4525,63.44,420,0.052,-3.99,21.1,1.363,0.285
2024-02-01 15:42,31.412499999999998,63.557500000000005,412.5,0.052,-3.957,21.1,1.363,0.285
2024-02-01 16:12,31.3775,63.6075,395.5,0.053,-3.957,21.1,1.352,0.285
2024-02-01 16:42,31.349999999999998,63.467499999999994,422,0.053,-3.957,21.1,1.352,0.285
2024-02-01 17:12,31.3225,63.52250000000001,396,0.052,-3.924,21.1,1.352,0.286
2024-02-01 17:42,31.295,63.67,401,0.052,-3.924,21.1,1.352,0.286
2024-02-01 18:12,31.26,63.765,394.5,0.053,-3.89,21.1,1.341,0.286
2024-02-01 18:42,31.227500000000003,63.802499999999995,402,0.052,-3.924,21.1,1.341,0.287
2024-02-01 19:12,31.192500000000003,63.78750000000001,404.5,0.052,-3.89,21.1,1.341,0.286
2024-02-01 19:42,31.154999999999998,63.725,400,0.053,-3.89,21.1,1.33,0.287
2024-02-01 20:12,31.1325,63.665000000000006,403.5,0.053,-3.857,21.1,1.33,0.287
2024-02-01 20:42,31.1075,63.637499999999996,405.5,0.053,-3.857,21.1,1.33,0.287
2024-02-01 21:12,31.07,63.644999999999996,396.5,0.053,-3.857,21.1,1.319,0.287
2024-02-01 21:42,31.044999999999998,63.685,393,0.053,-3.824,21.1,1.319,0.287
2024-02-01 22:12,31.015,63.715,422,0.053,-3.824,21.1,1.308,0.193
2024-02-01 22:42,30.995,63.737500000000004,403,0.053,-3.824,21.1,1.308,0.288
2024-02-01 23:12,30.96,63.865,387,0.053,-3.824,21.1,1.308,0.194
2024-02-01 23:42,30.93,63.9775,412.5,0.053,-3.824,21.1,1.308,0.287
2024-02-02 00:12,30.9425,64.055,421.5,0.053,-3.824,21.1,1.308,0.288
2024-02-02 00:42,31.0425,63.982499999999995,417.5,0.053,-3.857,21.1,1.33,0.287
2024-02-02 01:12,31.327499999999997,63.7925,413,0.053,-3.99,21.1,1.363,0.191
2024-02-02 01:42,31.5925,63.464999999999996,413,0.052,-4.024,21.1,1.386,0.283
2024-02-02 02:12,31.3125,64.055,407.5,0.053,-3.626,21.1,1.22,0.291
2024-02-02 02:42,31.052500000000002,64.38499999999999,395.5,0.053,-3.626,21.1,1.22,0.29
2024-02-02 03:12,31.354999999999997,63.465,430.5,0.053,-3.791,21.1,1.275,0.288
2024-02-02 03:42,31.634999999999998,62.7875,348.5,0.053,-3.824,21.1,1.297,0.287
2024-02-02 04:12,31.82,62.33,417.5,0.052,-3.957,21.1,1.341,0.285
2024-02-02 04:42,31.985000000000003,60.974999999999994,443.5,0.052,-4.024,21.1,1.352,0.284
2024-02-02 05:12,32.1175,60.2175,370.5,0.052,-4.09,21.1,1.386,0.283
2024-02-02 05:42,32.18,59.9875,414.5,0.054,-4.124,21.1,1.386,0.283
2024-02-02 06:12,32.262499999999996,59.8775,408.5,0.053,-4.157,21.1,1.397,0.282
2024-02-02 06:42,32.5375,58.932500000000005,393,0.052,-4.258,21.1,1.442,0.28
2024-02-02 07:12,32.665000000000006,57.12,428,0.053,-4.292,21.2,1.442,0.28
2024-02-02 07:42,32.645,57.167500000000004,409.5,0.053,-4.258,21.2,1.442,0.28
2024-02-02 08:12,32.5975,56.292500000000004,407,0.053,-4.258,21.2,1.431,0.28
2024-02-02 08:42,32.7025,56.905,420,0.052,-4.461,21.2,1.51,0.277
2024-02-02 09:12,33.13249999999999,56.4075,425,0.053,-4.701,21.2,1.601,0.274
2024-02-02 09:42,33.22,56.3475,397.5,0.053,-4.666,21.2,1.601,0.273
2024-02-02 10:12,33.1375,56.4075,411,0.052,-4.598,21.2,1.578,0.275
2024-02-02 10:42,32.9,57.044999999999995,406.5,0.053,-4.529,21.2,1.544,0.276
2024-02-02 11:12,32.61,58.045,406,0.053,-4.393,21.2,1.498,0.278
2024-02-02 11:42,32.37500000000001,58.9225,411,0.053,-4.326,21.2,1.476,0.28
2024-02-02 12:12,32.239999999999995,59.747499999999995,397.5,0.053,-4.258,21.2,1.453,0.28
2024-02-02 12:42,32.15,60.3825,420,0.052,-4.225,21.1,1.453,0.281
2024-02-02 13:12,32.0875,61.06,390.5,0.053,-4.225,21.1,1.442,0.281
2024-02-02 13:42,32.0175,61.75000000000001,412,0.052,-4.225,21.1,1.431,0.281
2024-02-02 14:12,31.9525,62.512499999999996,414,0.053,-4.157,21.1,1.431,0.282
2024-02-02 14:42,31.885,63.057500000000005,408,0.053,-4.124,21.1,1.408,0.283
2024-02-02 15:12,31.822499999999998,63.58500000000001,390,0.052,-4.09,21.1,1.397,0.283
2024-02-02 15:42,31.78,64.0875,410,0.053,-4.057,21.1,1.397,0.283
2024-02-02 16:12,31.740000000000002,64.3825,405,0.053,-4.09,21.1,1.397,0.283
2024-02-02 16:42,31.705,64.8,394,0.052,-4.057,21.1,1.386,0.283
2024-02-02 17:12,31.647499999999997,65.06,413.5,0.052,-4.024,21.1,1.386,0.284
2024-02-02 17:42,31.61,65.31,424.5,0.053,-4.024,21.1,1.375,0.285
2024-02-02 18:12,31.565,65.5625,420.5,0.053,-3.99,21.1,1.375,0.285
2024-02-02 18:42,31.520000000000003,65.7575,399,0.052,-3.99,21.1,1.375,0.285
2024-02-02 19:12,31.4925,65.8575,404,0.052,-3.99,21.1,1.363,0.285
2024-02-02 19:42,31.4425,65.9175,407.5,0.052,-3.957,21.1,1.363,0.191
2024-02-02 20:12,31.42,65.955,381,0.052,-3.957,21.1,1.352,0.285
2024-02-02 20:42,31.375,65.97999999999999,377,0.052,-3.957,21.1,1.352,0.192
2024-02-02 21:12,31.3325,65.8775,408,0.052,-3.924,21.1,1.352,0.286
2024-02-02 21:42,31.29,65.89000000000001,425.5,0.052,-3.924,21.1,1.341,0.286
2024-02-02 22:12,31.2575,65.7825,417,0.052,-3.924,21.1,1.341,0.286
2024-02-02 22:42,31.2325,65.73,408,0.053,-3.89,21.1,1.341,0.286
2024-02-02 23:12,31.2,65.705,408.5,0.053,-3.89,21.1,1.33,0.287
2024-02-02 23:42,31.17,65.7425,421,0.053,-3.857,21.1,1.33,0.286
2024-02-03 00:12,31.172500000000003,65.66499999999999,388.5,0.053,-3.89,21.1,1.33,0.287
2024-02-03 00:42,31.322499999999998,65.44500000000001,409,0.053,-3.957,21.1,1.352,0.285
2024-02-03 01:12,31.625,65.065,396.5,0.052,-4.057,21.1,1.397,0.283
2024-02-03 01:42,31.8375,64.6125,409.5,0.053,-4.124,21.1,1.408,0.282
2024-02-03 02:12,31.2325,65.3925,421,0.053,-3.659,21.1,1.242,0.29
2024-02-03 02:42,31.07,65.9475,422,0.053,-3.659,21.1,1.231,0.29
2024-02-03 03:12,31.06,65.77,419,0.053,-3.725,21.1,1.253,0.289
2024-02-03 03:42,31.2975,64.91000000000001,427,0.053,-3.791,21.1,1.286,0.288
2024-02-03 04:12,31.5875,64.9875,398.5,0.053,-3.924,21.1,1.319,0.286
2024-02-03 04:42,31.63,65.04749999999999,412.5,0.053,-3.957,21.1,1.319,0.286
2024-02-03 05:12,31.75,64.85,401.5,0.052,-3.99,21.1,1.341,0.285
2024-02-03 05:42,31.890000000000004,63.495,446.5,0.052,-4.057,21.1,1.363,0.283
